STREET ADDRESS,LISTING REGION,LISTING COMMUNITY,LISTING CITY,POSTAL CODE,LATITUDE,LONGITUDE,MANAGED BY,MAIN PHOTO,PROPERTY TYPE,PRICE,BEDS,BATHS,SQ. FT.,PETS
70 Hope Ave,MA,Longview Place,Waltham,02453,42.369909,-71.232273,Equity,https://ar.rdcpix.com/1579642474/20003a762474a24ecf57428b03301fe7c-f0xd-w480_h480_q80.jpg,Apartment for Rent,2485+,1-3,1-2,721+,OK
1449 Main St.,MA,Avalon Bear Hill,Waltham,02451,42.376789,-71.269783,Avalon Bay,https://ar.rdcpix.com/1343985015/d1145188656365d14d08a84272e6932ec-f0xd-w480_h480_q80.jpg,Apartment for Rent,2646+,1-3,1-2,790+,OK
45 Moody St.,MA,The Merc at Moody and Main,Waltham,02453,42.376019,-71.237053,Northland Investment,https://ar.rdcpix.com/809227302/8ec59ee7023c9d9a07119bbd0a011333c-f0xd-w480_h480_q80.jpg,Apartment for Rent,1990+,0-3,1-2,589+,OK
25 Crescent St.,MA,Cronin's Landing,Waltham,02453,42.3717,-71.2385,Equity,https://ar.rdcpix.com/607138702/df5e523bcba586b9ee2f2ac7da34c169c-f0xd-w480_h480_q80.jpg,Apartment for Rent,2505+,1-3,1-3,731+,OK
55 Ridge Ln,MA,The Ridge,Waltham,02452,42.406343,-71.235888,Lincoln,https://ar.rdcpix.com/979090863/97b227936d68857f53261cfb9aa81c90c-f0xd-w480_h480_q80.jpg,Apartment for Rent,2445+,1-2,1-2,786+,OK
36 River St,MA,Currents on the Charles,Waltham,02453,42.368408,-71.217369,Bozzuto,https://ar.rdcpix.com/1023674573/34d2884361b4a4aeddec614cc623ef0ac-f0xd-w480_h480_q80.jpg,Apartment for Rent,2427+,0-3,1-2,609+,OK
976 Lexington St.,MA,Windsor Village at Waltham,Waltham,02451,42.400285,-71.25951,Windson Communities ,https://ar.rdcpix.com/1818462026/6cd6863b42bc754371200061da461ddac-f1xd-w480_h480_q80.jpg,Apartment for Rent,1995+,1-3,1-2,885+,OK
117 Kodiak Way,MA,,Waltham,02451,42.37933,-71.269738,Landlord,https://ar.rdcpix.com/373198924/7813312d6e17a05b2bddefc3c77ad023c-f0xd-w480_h480_q80.jpg,Apartment for Rent,2518,1,1,1192,OK
49 Angleside Rd. Apt. 6,MA,,Waltham,02453,42.358931,-71.258007,Landlord,https://ar.rdcpix.com/1682145514/b1bfc4280b51077963cffeb6ca9a207ec-f0xd-w480_h480_q80.jpg,Apartment for Rent,2250,2,2,1175,
104 Howard St #1,MA,,Waltham,02451,42.379937,-71.244846,Landlord,https://ar.rdcpix.com/962293780/92353c075165d181fb9b92e97b2ca776c-f0xd-w480_h480_q80.jpg,Condo/Townhouse for Rent,1950,3,2,1985,
53R Willow St,MA,,Waltham,02451,42.374939,-71.218162,Landlord,https://ar.rdcpix.com/1012943182/ce6079e2a3a8023f62af360c99bac339c-f0xd-w480_h480_q80.jpg,Apartment for Rent,900,0,1,400,
45 Kings Way,MA,,Waltham,02451,42.407203,-71.247561,Landlord,https://ar.rdcpix.com/293425173/97ea8466575c756155142637f586a6d0c-f0xd-w480_h480_q80.jpg,Apartment for Rent,1995,1,1,750,Dogs
130 Lake St. Unit 2,MA,,Waltham,02451,42.40322,-71.239698,Landlord,https://ap.rdcpix.com/1300531200/ede54fdf7c19aedebf8f752084ae1975l-w0xd-w480_h480_q80.jpg,Apartment for Rent,2500,3,1,1300,OK
216 Brown St,MA,,Waltham,02453,42.364294,-71.233211,Landlord,https://ap.rdcpix.com/1257948321/e85db5a8aec040b4df3df3287f4e88f7l-m0xd-w480_h480_q80.jpg,Apartment for Rent,2250,3,1,1250,OK
84 Prospect St. Unit 2L,MA,,Waltham,02453,42.37334,-71.246217,Gelineau & Associates R.E.,https://ap.rdcpix.com/1561547380/2951181300655b87c29ce54b15871f70l-m0xd-w480_h480_q80.jpg,Apartment for Rent,3600,3,3,1900,
177 Summer St,MA,,Waltham,02452,42.380232,-71.23593,Gelineau & Associates R.E.,https://ap.rdcpix.com/1754299340/a0f350c1fe8f9657891ba23c9562b17cl-m0xd-w480_h480_q80.jpg,Apartment for Rent,2900,3,2,1900,
